Title,H index,Impact Factor
"2016 IEEE International Conference on Multimedia and Expo Workshop, ICMEW 2016",6,0.76116
"1st IEEE International Symposium on Inertial Sensors and Systems, ISISS 2014 - Proceedings",7,0.79624
"Proceedings - 2014 Electrical Power and Energy Conference, EPEC 2014",4,0.69098
"Society of Petroleum Engineers - Unconventional Resources Technology Conference, URTeC 2015",7,0.79624
"American Helicopter Society International - 6th AHS International Specialists' Meeting on Unmanned Rotorcraft System 2015: Platform Design, Autonomy, Operator Workload Reduction and Network Centric Operations",3,0.6559
"ASME 2015 International Technical Conference and Exhibition on Packaging and Integration of Electronic and Photonic Microsystems, InterPACK 2015, collocated with the ASME 2015 13th International Conference on Nanochannels, Microchannels, and Minichannels",1,0.58572
"2014 IEEE RFID Technology and Applications Conference, RFID-TA 2014",8,0.83133
"IEEE Conference on Technologies for Practical Robot Applications, TePRA",9,0.86641
"ACM/IEEE 6th International Conference on Cyber-Physical Systems, ICCPS 2015",8,0.83133
"84th ARFTG Microwave Measurement Conference: The New Frontiers for Microwave Measurements, ARFTG 2014",4,0.69098
IEEE Vehicular Technology Conference,100,4.05926
"AIAA Guidance, Navigation, and Control Conference 2015, MGNC 2015 - Held at the AIAA SciTech Forum 2015",8,0.83133
IEEE International Symposium on Industrial Electronics,45,2.12952
"2nd IEEE International Symposium on Inertial Sensors and Systems, IEEE ISISS 2015 - Proceedings",5,0.72607
IEEE National Radar Conference - Proceedings,43,2.05934
"Proceedings - 2015 IEEE 23rd Annual International Symposium on Field-Programmable Custom Computing Machines, FCCM 2015",8,0.83133
AIAA/IEEE Digital Avionics Systems Conference - Proceedings,25,1.42779
"2014 International Symposium on Power Electronics, Electrical Drives, Automation and Motion, SPEEDAM 2014",11,0.93659
Proceedings - IEEE Military Communications Conference,51,2.34003
"Conference on Optical Fiber Communication, Technical Digest Series",40,1.95409
"Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS",34,1.74357
"2016 IEEE International Energy Conference, ENERGYCON 2016",4,0.69098
"Proceedings - 2014 International Power Electronics and Application Conference and Exposition, IEEE PEAC 2014",9,0.86641
"Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts",19,1.21728
"2014 IEEE 5th International Symposium on Sensorless Control for Electrical Drives, SLED 2014",4,0.69098
Proceedings International Radar Symposium,16,1.11202
IWCMC 2014 - 10th International Wireless Communications and Mobile Computing Conference,9,0.86641
Proceedings of IDC 2015: The 14th International Conference on Interaction Design and Children,7,0.79624
"Proceedings of IEEE Computer Society Annual Symposium on VLSI, ISVLSI",18,1.18219
Conference on Human Factors in Computing Systems - Proceedings,16,1.11202
"2014 IEEE 23rd Conference on Electrical Performance of Electronic Packaging and Systems, EPEPS 2014",2,0.62081
Annals of DAAAM and Proceedings of the International DAAAM Symposium,11,0.93659
IEEE International Conference on Automation Science and Engineering,15,1.07693
"MobiQuitous 2014 - 11th International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",7,0.79624
"Proceedings - 2014 IEEE International Conference on Internet of Things, iThings 2014, 2014 IEEE International Conference on Green Computing and Communications, GreenCom 2014 and 2014 IEEE International Conference on Cyber-Physical-Social Computing, CPS 2014",6,0.76116
IEEE International Conference on Group IV Photonics GFP,18,1.18219
"2015 1st Workshop on Smart Grid and Renewable Energy, SGRE 2015",4,0.69098
"Proceedings - 2016 IEEE 9th International Conference on Service-Oriented Computing and Applications, SOCA 2016",3,0.6559
"16th International Power Electronics and Motion Control Conference and Exposition, PEMC 2014",9,0.86641
"Proceedings - 2014 International Conference on Electrical Machines, ICEM 2014",11,0.93659
"Iv and L-MM 2016 - Proceedings of the 2016 ACM Workshop on Vision and Language Integration Meets Multimedia Fusion, co-located with ACM Multimedia 2016",2,0.62081
"Proceedings of the 2015 IEEE International Conference on Data Science and Advanced Analytics, DSAA 2015",7,0.79624
"Society of Petroleum Engineers - SPE Liquids-Rich Basins Conference - North America, LRBC 2015",4,0.69098
"Submarine Mass Movements and Their Consequences, 6th International Symposium",4,0.69098
"2015 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2015",6,0.76116
Proceedings - High Performance Graphics 2015,4,0.69098
"2016 IEEE International Energy Conference, ENERGYCON 2016",3,0.6559
Society of Petroleum Engineers - SPE Bergen One Day Seminar,4,0.69098
"6th International Workshop on Social Software Engineering, SSE 2014 - Proceedings",3,0.6559
"Proceedings - 2nd International Workshop on Rapid Continuous Software Engineering, RCoSE 2015",4,0.69098
"Proceedings - UKSim-AMSS 8th European Modelling Symposium on Computer Modelling and Simulation, EMS 2014",1,0.58572
"2014 International Radar Conference, Radar 2014",8,0.83133
"25th International Conference on Field Programmable Logic and Applications, FPL 2015",6,0.76116
"2014 6th Computer Science and Electronic Engineering Conference, CEEC 2014 - Conference Proceedings",4,0.69098
"2015 IEEE 20th International Workshop on Computer Aided Modelling and Design of Communication Links and Networks, CAMAD 2015",5,0.72607
"International Workshop on System Level Interconnect Prediction, SLIP",15,1.07693
"Proceedings - 12th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2016",4,0.69098
Proceedings of the International Conference on Power Electronics and Drive Systems,33,1.70848
"PCIM Europe 2015; International Exhibition and Conference for Power Electronics, Intelligent Motion, Renewable Energy and Energy Management; Proceedings of",9,0.86641
"2014 IEEE Electrical Design of Advanced Packaging and Systems Symposium, EDAPS 2014",1,0.58572
"Proceedings of the Workshop on Electric Vehicle Systems, Data, and Applications, EV-SYS 2016",2,0.62081
"Proceedings of the 2015 9th International Conference on Pervasive Computing Technologies for Healthcare, PervasiveHealth 2015",6,0.76116
"2014 IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2014",4,0.69098
"2014 Sensor Signal Processing for Defence, SSPD 2014",5,0.72607
"5th International Conference on Image Processing, Theory, Tools and Applications 2015, IPTA 2015",5,0.72607
"2016 IEEE International Conference on RFID, RFID 2016",4,0.69098
"CobRA 2015 - Proceedings of the 1st International Workshop on Exploring Component-Based Techniques for Constructing Reference Architectures, Part of CompArch 2015",2,0.62081
"1st International Workshop on Crowd-Based Software Development Methods and Technologies, CrowdSoft 2014 - Proceedings",4,0.69098
"20th European Wireless Conference, EW 2014",9,0.86641
"2014 19th IEEE-NPSS Real Time Conference, RT 2014 - Conference Records",4,0.69098
"Proceedings - 2016 International Conference on Digital Economy: Emerging Technologies and Business Innovation, ICDEc 2016",2,0.62081
"2016 IEEE International Conference on Rebooting Computing, ICRC 2016 - Conference Proceedings",4,0.69098
IEEE International Conference on Program Comprehension,1,0.58572
22nd AIAA/ASME/AHS Adaptive Structures Conference,5,0.72607
MARINE 2015 - Computational Methods in Marine Engineering VI,3,0.6559
"Proceedings - 2014 8th International Conference on Next Generation Mobile Applications, Services and Technologies, NGMAST 2014",6,0.76116
"2015 Australasian Universities Power Engineering Conference: Challenges for Future Grids, AUPEC 2015",5,0.72607
"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",38,1.88391
Conference Record - IEEE Instrumentation and Measurement Technology Conference,31,1.63831
"2014 IEEE International Conference on Communication Systems, IEEE ICCS 2014",3,0.6559
Proceedings of the International Symposium on Wireless Communication Systems,18,1.18219
Proceedings of the IEEE International Conference on Industrial Technology,35,1.77865
"2014 IEEE 23rd Conference on Electrical Performance of Electronic Packaging and Systems, EPEPS 2014",4,0.69098
"IEEE International Conference on Control and Automation, ICCA",13,1.00676
"2015 International Symposium on VLSI Design, Automation and Test, VLSI-DAT 2015",4,0.69098
"2014 21st International Conference on High Performance Computing, HiPC 2014",6,0.76116
IEEE International Test Conference (TC),74,3.14702
"European Microwave Week 2014: Connecting the Future, EuMW 2014 - Conference Proceedings; EuMC 2014: 44th European Microwave Conference",8,0.83133
"6th Annual International Power Electronics, Drive Systems, and Technologies Conference, PEDSTC 2015",5,0.72607
IPIN 2014 - 2014 International Conference on Indoor Positioning and Indoor Navigation,9,0.86641
"NAPS 2016 - 48th North American Power Symposium, Proceedings",4,0.69098
"2014 11th IEEE/IAS International Conference on Industry Applications, IEEE INDUSCON 2014 - Electronic Proceedings",5,0.72607
"2014 International Conference on Electrical Sciences and Technologies in Maghreb, CISTEM 2014",3,0.6559
"Asian Internet Engineering Conference, AINTEC 2015",3,0.6559
"2016 IEEE Virtual Humans and Crowds for Immersive Environments, VHCIE 2016",2,0.62081
"Proceedings of the 5th International Workshop on Runtime and Operating Systems for Supercomputers, ROSS 2015 - In conjunction with HPDC 2015",4,0.69098
"Proceedings of the 2015 IEEE International Conference on Networking, Architecture and Storage, NAS 2015",4,0.69098
AP-S International Symposium (Digest) (IEEE Antennas and Propagation Society),49,2.26986
"Proceedings of the International Conference on Engineering Design, ICED",17,1.1471
"Proceedings of the 2014 IEEE/ACM International Symposium on Nanoscale Architectures, NANOARCH 2014",7,0.79624
"2014 IEEE Student Conference on Research and Development, SCOReD 2014",3,0.6559
"2014 IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2014",7,0.79624
"Proceedings - 3rd IAPR Asian Conference on Pattern Recognition, ACPR 2015",4,0.69098
"2016 IEEE International Workshop on Applied Measurements for Power Systems, AMPS 2016 - Proceedings",2,0.62081
"2014 IEEE 6th International Symposium on Wireless Vehicular Communications, WiVeC 2014 - Proceedings",5,0.72607
Proceedings of the International Symposium on Electrical Insulating Materials,15,1.07693
"QoSA 2015 - Proceedings of the 11th International ACM SIGSOFT Conference on Quality of Software Architectures, Part of CompArch 2015",5,0.72607
IEEE International Conference on Microelectronic Test Structures,20,1.25236
"SMPTE 2014 Annual Technical Conference and Exhibition, SMPTE 2014",4,0.69098
Memorie della Societa Astronomica Italiana - Journal of the Italian Astronomical Society,8,0.83133
IEEE Workshop on Local and Metropolitan Area Networks,7,0.79624
"RINA, Royal Institution of Naval Architects - Damaged Ship III, Papers",1,0.58572
"2014 IEEE International Interconnect Technology Conference / Advanced Metallization Conference, IITC/AMC 2014",8,0.83133
"2015 IEEE Applied Imagery Pattern Recognition Workshop, AIPR 2015",2,0.62081
"CrowdMM 2015 - Proceedings of the 4th International Workshop on Crowdsourcing for Multimedia, co-located with MM 2015",2,0.62081
International Telemetering Conference (Proceedings),10,0.9015
Proceedings Elmar - International Symposium Electronics in Marine,15,1.07693
"IEEE Radio and Wireless Symposium, RWS",10,0.9015
WPA 2015 - Proceedings of the 2nd Workshop on Physical Analytics,3,0.6559
"AGERE 2016 - Proceedings of the 6th International Workshop on Programming Based on Actors, Agents, and Decentralized Control, co-located with SPLASH 2016",2,0.62081
"PEDSTC 2014 - 5th Annual International Power Electronics, Drive Systems and Technologies Conference",6,0.76116
"2015 German Microwave Conference, GeMiC 2015",5,0.72607
"5th Topical Meeting on Advances in Nuclear Fuel Management, ANFM 2015: Advances in Nuclear Fuel Management V",2,0.62081
"IEEE Intelligent Vehicles Symposium, Proceedings",6,0.76116
"International Conference on Digital Signal Processing, DSP",8,0.83133
ULIS 2014 - 2014 15th International Conference on Ultimate Integration on Silicon,5,0.72607
