Combination no,Combination,Mean Absolute Error
19,"'H Index', 'Total Docs(3years)'",0.7418514610346452
186,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.744344824011761
392,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7452248827604023
22,"'H Index', 'Citable Docs(3years)'",0.7510167579139747
137,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)'",0.7518276602363217
77,"'H Index', 'Total Docs(2017)', 'Citable Docs(3years)'",0.7539653149400518
265,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7611963023215315
495,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7618132437019765
145,"'SJR', 'H Index', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7718366985185542
466,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7764656706654881
402,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7811603086600385
86,"'H Index', 'Total Refs', 'Citable Docs(3years)'",0.7880712373365045
233,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.7938755457219532
82,"'H Index', 'Total Docs(3years)', 'Citable Docs(3years)'",0.7957729214400115
192,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.7966170493649621
188,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",0.7966214701195903
386,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7983267324861036
275,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",0.8071992562961197
122,"'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.8243436322085023
202,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.8385643866180621
327,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.8675640436033973
14,"'SJR', 'Total Cites(3years)'",0.8685908403765374
13,"'SJR', 'Total Refs'",0.8690329379375353
11,"'SJR', 'Total Docs(2017)'",0.8897940581085438
53,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)'",0.9032175907260257
64,"'SJR', 'Total Refs', 'Total Cites(3years)'",0.9047811767526486
56,"'SJR', 'Total Docs(2017)', 'Citable Docs(3years)'",0.9094356807777885
59,"'SJR', 'Total Docs(3years)', 'Total Refs'",0.9191487002294814
30,"'Total Docs(2017)', 'Ref/Doc'",0.9223115060165145
54,"'SJR', 'Total Docs(2017)', 'Total Refs'",0.9282368868881685
12,"'SJR', 'Total Docs(3years)'",0.9301911233799451
65,"'SJR', 'Total Refs', 'Citable Docs(3years)'",0.9302215813749672
99,"'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.9307495233369109
153,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",0.9334580767916835
151,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.9337595499208883
103,"'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",0.9350217643596489
157,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.9387697647618066
224,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.9395016830980208
15,"'SJR', 'Citable Docs(3years)'",0.9404773048955588
108,"'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.9462956428395323
35,"'Total Docs(3years)', 'Ref/Doc'",0.9473194062270183
167,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.9498710631003561
235,"'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.9506640678362654
363,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.9522973365618198
61,"'SJR', 'Total Docs(3years)', 'Citable Docs(3years)'",0.9601997115434423
55,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)'",0.9607270202975859
44,"'Citable Docs(3years)', 'Ref/Doc'",0.9664718032438463
372,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.9675984808181026
113,"'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.9694222389997624
292,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.9729778843253174
229,"'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.9745855715044862
156,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.9745997892124686
365,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.9779484813303946
