Combination no,Combination,Mean Absolute Error,Mean Squared error,Root Mean Squared Error
67,"'SJR', 'Total Refs', 'Ref/Doc'",0.5302862670936522,0.3939913417752846,0.6276872961716563
68,"'SJR', 'Total Cites(3years)', 'Citable Docs(3years)'",1.073140973619134,1.2070573653368988,1.098661624585522
70,"'SJR', 'Total Cites(3years)', 'Ref/Doc'",0.4942783332331672,0.3560732726539136,0.5967187550713599
72,"'SJR', 'Citable Docs(3years)', 'Ref/Doc'",0.5390358378799059,0.4118022294918515,0.6417181854146348
74,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)'",0.7365365922619594,0.651521627558143,0.8071688965502468
75,"'H Index', 'Total Docs(2017)', 'Total Refs'",0.6454478136466366,0.4811074516292069,0.6936190969323198
76,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)'",0.6367379154030004,0.49184152003770015,0.7013141379137455
77,"'H Index', 'Total Docs(2017)', 'Citable Docs(3years)'",0.7539653149400518,0.6895328593840416,0.830381153076129
79,"'H Index', 'Total Docs(2017)', 'Ref/Doc'",0.5315238962955812,0.406218792361544,0.6373529574431611
80,"'H Index', 'Total Docs(3years)', 'Total Refs'",0.654021213639758,0.48948514042031144,0.6996321465029401
81,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)'",0.6373087554132238,0.502433750891059,0.7088256138790832
82,"'H Index', 'Total Docs(3years)', 'Citable Docs(3years)'",0.7957729214400115,0.8763981641515436,0.9361613985587868
84,"'H Index', 'Total Docs(3years)', 'Ref/Doc'",0.5358973582062202,0.41959618503387985,0.6477624449085327
85,"'H Index', 'Total Refs', 'Total Cites(3years)'",0.45479034525268053,0.45416357750960734,0.6739165953659305
86,"'H Index', 'Total Refs', 'Citable Docs(3years)'",0.7880712373365045,0.7361726199961456,0.8580050232930724
88,"'H Index', 'Total Refs', 'Ref/Doc'",0.5391710834397561,0.42281709902936554,0.6502438765796765
89,"'H Index', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1737000249811869,1.5348267419234962,1.23888124609403
91,"'H Index', 'Total Cites(3years)', 'Ref/Doc'",0.5087750795444883,0.37406366577986916,0.6116074441828427
93,"'H Index', 'Citable Docs(3years)', 'Ref/Doc'",0.535060163649622,0.4217708369583766,0.6494388631413865
95,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",2.0464206273649133,4.333597223471973,2.0817293828622327
96,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",1.884272538105974,3.7346294296789266,1.9325189338474609
97,"'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",1.8471515233610356,3.769753664174565,1.9415853481561312
