Combination no,Combination,Mean Squared error,Root Mean Squared Error
76,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)'",0.49184152003770015,0.7013141379137455
258,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",0.4986480388923241,0.7061501532197838
338,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.5008236457001733,0.7076889469959053
81,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)'",0.502433750891059,0.7088256138790832
138,"'SJR', 'H Index', 'Total Docs(3years)', 'Citable Docs(3years)'",0.5076294300381325,0.7124811787255384
2,'H Index',0.5096877664801445,0.7139242021952642
187,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",0.5118444259279077,0.7154330338528602
326,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.5128951359805252,0.7161669749300963
197,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.5190325106372672,0.7204391095972422
209,"'H Index', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5225525394460427,0.7228779561212548
272,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.5240378925405504,0.7239046156369985
442,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5272130423216704,0.7260943756301039
350,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5296319638886765,0.7277581767927287
419,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.5450339758546386,0.7382641640054315
383,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.547687945685274,0.7400594203746574
313,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.5527348517732467,0.743461398979965
334,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5537440523772271,0.7441398070102332
172,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.5587649566697032,0.7475058238366462
297,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.5619115623671568,0.7496076055958589
382,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.5758231577925,0.7588301244629789
271,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.5771777428477822,0.7597221484515126
428,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5865888491598231,0.7658908859359949
322,"'SJR', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5884592371891669,0.7671109679760595
183,"'SJR', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5913834754640717,0.7690146132968292
308,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5991273845486761,0.7740331934411315
18,"'H Index', 'Total Docs(2017)'",0.6050132687204517,0.77782598871499
257,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",0.6054570384817215,0.7781111993036224
488,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6119849327250653,0.7822946585047512
281,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.6123278754214143,0.7825138180386428
137,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Cites(3years)'",0.6127393486418936,0.7827766914273148
