Title,SJR,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Impact Factor
Advances in Electrical and Electronic Engineering,0.274,13,103,228,1946,244,228.0,1.22,18.89,1.07018
International Journal of RF and Microwave Computer-Aided Engineering,0.274,34,119,277,2735,308,268.0,1.27,22.98,1.14925
"Journal of Control, Automation and Electrical Systems",0.274,12,70,192,2068,183,192.0,1.01,29.54,0.95312
Jiqiren/Robot,0.274,20,101,284,2295,271,284.0,0.86,22.72,0.95423
IEEE Design and Test,0.273,68,96,205,1100,273,155.0,1.9,11.46,1.76129
Microwave and Optical Technology Letters,0.273,67,698,2196,9291,2120,2152.0,1.09,13.31,0.98513
Journal of Communications Technology and Electronics,0.273,18,197,538,3345,266,537.0,0.52,16.98,0.49534
Journal of Visualization,0.267,23,81,174,1840,181,170.0,0.93,22.72,1.06471
Journal of Magnetics,0.267,11,101,243,2025,164,243.0,0.71,20.05,0.6749
Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering,0.266,22,472,1962,9213,905,1962.0,0.39,19.52,0.46126
Telkomnika,0.265,13,233,628,4616,388,626.0,0.58,19.81,0.61981
IEEE Electromagnetic Compatibility Magazine,0.264,9,44,130,471,102,128.0,0.73,10.7,0.79688
International Journal of Aeronautical and Space Sciences,0.264,13,79,173,1676,126,173.0,0.57,21.22,0.72832
International Journal of Electronics,0.264,46,146,424,3725,439,413.0,1.12,25.51,1.06295
Photonic Network Communications,0.264,30,88,213,1992,265,199.0,1.28,22.64,1.33166
Journal of Advanced Dielectrics,0.263,5,48,85,1433,73,83.0,0.88,29.85,0.87952
MM Science Journal,0.262,5,92,239,1255,125,239.0,0.54,13.64,0.52301
IET Communications,0.26,51,351,911,8842,1365,902.0,1.62,25.19,1.5133
Wireless Personal Communications,0.26,42,1425,2146,35831,2886,2103.0,1.32,25.14,1.37233
IEEJ Transactions on Power and Energy,0.259,23,111,367,1112,167,353.0,0.49,10.02,0.47309
Elektronika ir Elektrotechnika,0.258,20,82,397,1603,398,397.0,1.1,19.55,1.00252
Journal of Electromagnetic Waves and Applications,0.258,43,170,582,3853,570,571.0,0.96,22.66,0.99825
International Journal of Nanoelectronics and Materials,0.258,6,18,48,508,25,48.0,0.69,28.22,0.52083
Real-Time Systems,0.257,50,30,69,1031,156,63.0,2.19,34.37,2.47619
IEEJ Journal of Industry Applications,0.257,11,42,216,820,246,216.0,1.1,19.52,1.13889
Dongli Gongcheng Xuebao/Journal of Chinese Society of Power Engineering,0.256,12,153,483,2076,237,483.0,0.46,13.57,0.49068
Sensing and Imaging,0.255,15,33,66,902,63,65.0,0.83,27.33,0.96923
Journal of Systems Engineering and Electronics,0.253,25,127,363,3298,334,363.0,0.78,25.97,0.92011
IEEE Latin America Transactions,0.253,16,297,1388,7264,857,1388.0,0.62,24.46,0.61744
Microelectronics International,0.251,18,24,84,500,55,83.0,0.78,20.83,0.66265
International Journal of Sensor Networks,0.25,26,70,201,2239,193,200.0,0.96,31.99,0.965
Chinese Journal of Electronics,0.247,19,192,446,3784,372,446.0,0.85,19.71,0.83408
Circuit World,0.246,19,22,71,391,41,71.0,0.48,17.77,0.57746
Journal of Electrical Systems,0.244,11,60,154,1378,122,154.0,0.79,22.97,0.79221
International Journal of Electrical Engineering Education,0.242,18,26,94,353,52,94.0,0.63,13.58,0.55319
Information Technology and Control,0.24,14,41,120,1260,112,119.0,0.97,30.73,0.94118
Rev Roumaine des Sciences Techniques-Series Electrotechnique et Energetique,0.24,10,89,165,1502,184,164.0,1.09,16.88,1.12195
Applied Computational Electromagnetics Society Journal,0.24,24,174,534,3057,386,534.0,0.71,17.57,0.72285
"Electrotehnica, Electronica, Automatica",0.24,8,100,135,2942,107,134.0,0.77,29.42,0.79851
Frontiers of Information Technology and Electronic Engineering,0.239,18,168,312,5933,373,306.0,1.29,35.32,1.21895
Qiangjiguang Yu Lizishu/High Power Laser and Particle Beams,0.239,23,254,1782,3559,448,1782.0,0.26,14.01,0.2514
Telecommunication Systems,0.239,39,199,393,5677,466,372.0,1.36,28.53,1.25269
TM. Technisches Messen,0.239,16,119,235,1777,107,214.0,0.53,14.93,0.5
Journal of Electronic Imaging,0.238,57,229,612,8526,606,604.0,0.96,37.23,1.00331
Canadian Journal of Electrical and Computer Engineering,0.236,19,28,101,679,125,98.0,1.22,24.25,1.27551
International Journal on Smart Sensing and Intelligent Systems,0.234,22,85,312,2489,355,312.0,1.28,29.28,1.13782
SEI Technical Review,0.233,16,47,121,295,47,120.0,0.44,6.28,0.39167
IEICE Transactions on Communications,0.233,49,237,877,5626,810,834.0,1.15,23.74,0.97122
International Journal of Wireless and Mobile Computing,0.233,16,78,257,1839,201,256.0,0.95,23.58,0.78516
Archives of Electrical Engineering,0.233,10,66,157,1242,133,156.0,0.89,18.82,0.85256
